46,當代室內設計思潮,2,選修,室內設計三,(三)06-07 忠501 宋玉真,60,58,宋玉真
47,櫥窗與展售空間,2,選修,室內設計三,(四)06-07 忠501 郭品妤,60,53,郭品妤
48,BIM室內設計實作,2,選修,室內設計三,(二)09-10 忠611(電腦實習室) 王寅武,60,21,王寅武
49,室內設計(四),5,必修,室內設計四,"(一)01-04 忠703(建素描室) (一)06-09 忠703(建素描室) 陳文亮,林葳,何平,陳羿冲,何傳新,李元榮",60,15,"陳文亮,林葳,何平,陳羿冲,何傳新,李元榮"
50,室內設施維護管理實務與倫理,2,選修,室內設計四,(四)03-04 忠501 曾亮,60,16,曾亮
51,展演空間設計,2,選修,室內設計四,(二)03-04 忠202 楊學展,45,41,楊學展
52,工業AI專題實務,3,選修,工程與科學學院綜合班,(二)10-12 行208(電腦實習室) 王坤卿,40,38,王坤卿
53,跨領域畢業專題(一),3,選修,工程與科學學院綜合班,"(日)12-14   戴國政,陳兆衡,丘紀堇,蔡勝男,林維崙,林孟玲,劉政樺,吳俊哲",60,24,"戴國政,陳兆衡,丘紀堇,蔡勝男,林維崙,林孟玲,劉政樺,吳俊哲"
54,實習輔導與職涯發展(二),1,選修,工程與科學學院綜合班,(日)01-02   曾淑君,90,80,曾淑君
55,半導體封裝測試實務,3,選修,工程與科學學院碩士綜合班,(四)07-09 忠206 邱聖貴,86,55,邱聖貴
56,專題討論(二),1,必修,數科碩一學位學程,(三)06-07 理406 李詠玄,15,9,李詠玄
57,深度學習電腦視覺實務,3,選修,數科碩一學位學程,(二)07-09 理205 李衍緯,15,23,李衍緯
58,機器學習,3,選修,機航博一學位學程,(四)06-08 理205 游承書,20,34,游承書
58,機器學習,3,選修,數科碩一學位學程,(四)06-08 理205 游承書,20,34,游承書
59,碩士論文,0,必修,數科碩二學位學程,"(五)00       林俊德,許懷中,林峰正,楊菁菁,洪子倫,吳榮彬,林英志,李燊銘,游承書,李詠玄,陳彥志,王姿惠,魏秀娟,張淵仁",20,11,"林俊德,許懷中,林峰正,楊菁菁,洪子倫,吳榮彬,林英志,李燊銘,游承書,李詠玄,陳彥志,王姿惠,魏秀娟,張淵仁"
60,任務和系統設計驗證確認,3,必修,太空碩一學位學程,"(四)02-04 科航405 謝吉祥,陳啟川",20,16,"謝吉祥,陳啟川"
61,系統建模與模擬,3,必修,太空碩一學位學程,(三)06-08 科航504 方俊,40,23,方俊
62,專題討論(二),1,必修,太空碩一學位學程,(一)07     科航505 羅明忠,40,15,羅明忠
63,太空載具技術,3,選修,太空碩一學位學程,"(二)06-08 科航428 鄭琇君,陳宗正",20,9,"鄭琇君,陳宗正"
64,氣體分子動力學,3,選修,太空碩一學位學程,(三)02-04 科航428 羅明忠,20,5,羅明忠
65,統計學(二),3,必修,商學院綜合班,(五)08-10 商311 吳榮彬,70,25,吳榮彬
66,統計學(二),3,必修,商學院綜合班,(二)06-08 商103 廖揚立,60,34,廖揚立
67,統計學(二)實習,0,必修,商學院綜合班,(四)06-07 商207 陳舜華,60,34,陳舜華
68,會計學(二),3,必修,商學院綜合班,(三)11-13 商306 李滿春,70,84,李滿春
70,會計學(二)實習,0,必修,商學院綜合班,(二)11-12 商306 李滿春,70,84,李滿春
72,經濟學(二),3,必修,商學院綜合班,(五)06-08 商207 秦國軒,60,62,秦國軒
73,經濟學(二)實習,0,必修,商學院綜合班,(一)01     商203 (四)00     商203 陳舜華,60,62,陳舜華
73,經濟學(二)實習,0,必修,商學院綜合班,(一)01     商203 (四)00     商203 陳舜華,60,62,陳舜華
74,管理學,3,必修,商學院綜合班,(三)02-04 資電B08 陳睿昱,60,7,陳睿昱
75,ESG永續報告書評審實務,3,選修,商學院綜合班,(四)06-08 商803(第八國會廳) 林慶隆,60,66,林慶隆
77,永續觀光與生態旅遊,3,選修,商學院綜合班,(五)06-08 商514 陳晉照,60,62,陳晉照
78,永續智慧商店與自販機創新實務,3,選修,商學院綜合班,"(五)02-04 科航806(IoT大講堂) 江宜芳,吳清池,廖揚立,張芳凱,王文聖,陳亭廷,卓政懋",60,52,"江宜芳,吳清池,廖揚立,張芳凱,王文聖,陳亭廷,卓政懋"
79,全球商業永續議題選讀與討論,3,選修,商學院綜合班,(五)06-08 商201 鄭正男,60,13,鄭正男
80,企業永續與減碳實作,3,選修,商學院綜合班,(五)11-13 商514 謝宗勳,60,45,謝宗勳
82,商業英文書報導讀,3,選修,商學院綜合班,(四)06-08 商405 邱安安,80,75,邱安安
83,商業新模式—EY安永專題講座,3,選修,商學院綜合班,(四)06-08 商514 陳明宏,60,59,陳明宏
84,基礎國際商業溝通與文化,3,選修,商學院綜合班,(五)06-08 商803(第八國會廳) 王雅慧,80,59,王雅慧
85,基礎國際商業溝通與文化,3,選修,商學院綜合班,(五)00     線上 王雅慧,400,385,王雅慧
89,智慧科技與商業創新,3,選修,商學院綜合班,"(五)02-04 商207 陳亭廷,江宜芳,葉敬軒",60,47,"陳亭廷,江宜芳,葉敬軒"
90,跨領域畢業專題(一),3,選修,商學院綜合班,"(五)00     未排教室 陳清和,吳朝欽",60,62,"陳清和,吳朝欽"
92,社會創新與資訊科技應用,3,選修,商學院綜合班,"(四)02-04 資電B06 陳睿昱,王芊惠,葉俐廷",60,44,"陳睿昱,王芊惠,葉俐廷"
93,公司財務專題研討,2,選修,商學院碩士綜合班,(五)07-08 商907 陳聖賢,30,5,陳聖賢
94,班級活動,0,必修,會計一甲,(四)08-09 商208 李慧慈,60,58,李慧慈
95,科學與人文的對話,2,必修,會計一甲,(三)03-04 人507 宋明弘,60,59,宋明弘
96,體育(二),1,必修,會計一甲,(五)03-04 體館101(多功能球場) 張誠傑,60,60,張誠傑
97,商業軟體應用,2,必修,會計一甲,(二)01-02 商301(電腦實習室) 謝育龍,60,67,謝育龍
98,會計學(二),3,必修,會計一甲,(二)06-08 商304 李慧慈,60,59,李慧慈
99,會計學(二)實習,0,必修,會計一甲,(三)08-09 人607 賴家蓁,60,59,賴家蓁
100,經濟學(二),3,必修,會計一甲,(四)02-04 商202 胡士文,78,77,胡士文
101,經濟學(二)實習,0,必修,會計一甲,(五)01-02 資電104 黃于凌,78,77,黃于凌
102,班級活動,0,必修,會計一乙,(四)08-09 資電B08 張森河,60,55,張森河
103,科學與人文的對話,2,必修,會計一乙,(四)03-04 人507 宋明弘,60,64,宋明弘
104,體育(二),1,必修,會計一乙,(三)03-04 體館201(第一舞蹈室) 吳佩伊,60,60,吳佩伊
105,商業軟體應用,2,必修,會計一乙,(三)01-02 行政二館104-電腦實習室 謝育龍,60,60,謝育龍
106,會計學(二),3,必修,會計一乙,(二)06-08 商302 張森河,60,56,張森河
107,會計學(二)實習,0,必修,會計一乙,(三)08-09 語304 廖盈芳,60,56,廖盈芳
108,經濟學(二),3,必修,會計一乙,(二)02-04 資電B07 彭德昭,65,47,彭德昭
109,經濟學(二)實習,0,必修,會計一乙,(五)03-04 資電411 黃于凌,65,47,黃于凌
110,班級活動,0,必修,會計一丙,(一)08-09 商402 黃娟娟,60,54,黃娟娟
111,科學與人文的對話,2,必修,會計一丙,(三)06-07 語103 鄭宜玟,60,57,鄭宜玟
112,體育(二),1,必修,會計一丙,(五)01-02 體124(網球場) 張誠傑,60,59,張誠傑
113,商業軟體應用,2,必修,會計一丙,(三)03-04 行政二館104-電腦實習室 謝育龍,60,60,謝育龍
114,會計學(二),3,必修,會計一丙,(二)06-08 商208 黃娟娟,60,54,黃娟娟
115,會計學(二)實習,0,必修,會計一丙,(一)06-07 商402 廖盈芳,60,54,廖盈芳
116,經濟學(二),3,必修,會計一丙,(二)02-04 忠307 何思賢,80,70,何思賢
117,經濟學(二)實習,0,必修,會計一丙,(四)09-10 商308 何思賢,80,70,何思賢
118,公司及票據法,3,選修,會計一甲,(一)06-08 商406 袁義昕,60,62,袁義昕
118,公司及票據法,3,選修,會計一乙,(一)06-08 商406 袁義昕,60,62,袁義昕
118,公司及票據法,3,選修,會計一丙,(一)06-08 商406 袁義昕,60,62,袁義昕
119,班級活動,0,必修,會計二甲,(一)09     商208 高惠松,60,61,高惠松
120,中級會計學(二),4,必修,會計二甲,(二)03-04 商302 (二)06-07 忠206 高惠松,70,63,高惠松
121,中級會計學(二)實習,0,必修,會計二甲,"(二)08     忠201 (二)08     忠202 (二)09     忠201 (二)09     忠202 ,林柏豪",70,63,",林柏豪"
122,行銷管理,3,必修,會計二甲,(三)02-04 忠209 陳亭廷,60,62,陳亭廷
123,成本與管理會計(二),3,必修,會計二甲,(一)06-08 商208 張森河,70,68,張森河
124,成本與管理會計(二)實習,0,必修,會計二甲,(二)01-02 商302 張森河,70,68,張森河
125,租稅法,3,必修,會計二甲,(四)06-08 商308 黃鋒榮,65,71,黃鋒榮
126,國際財經時文選讀,2,必修,會計二甲,"(一)03-04 商402 陳品如,吳舜華",60,63,"陳品如,吳舜華"
127,統計學(二),3,必修,會計二甲,(四)02-04 商405 吳進家,70,67,吳進家
128,統計學(二)實習,0,必修,會計二甲,(五)03-04 資電B04 邱雁琳,70,67,邱雁琳
129,班級活動,0,必修,會計二乙,(一)09     商302 林書賢,60,59,林書賢
130,中級會計學(二),4,必修,會計二乙,(五)03-04 商304 (五)06-07 商304 林書賢,70,61,林書賢
